user_name,from_key,to_key,flight_time,dwell_time
vishnu,n,n,,139.0
vishnu,n, ,70.0,
vishnu, , ,,138.0
vishnu, ,o,71.0,
vishnu,o,o,,63.0
vishnu,o,Backspace,327.0,
vishnu,Backspace,Backspace,,71.0
vishnu,Backspace,d,106.0,
vishnu,d,d,,72.0
vishnu,d,Backspace,88.0,
vishnu,Backspace,Backspace,,73.0
vishnu,Backspace,Backspace,97.0,
vishnu,Backspace,Backspace,,70.0
vishnu,Backspace,d,253.0,
vishnu,Backspace, ,349.0,
vishnu,d,d,,157.0
vishnu, , ,,142.0
vishnu, ,o,99.0,
vishnu, ,v,189.0,
vishnu,o,o,,134.0
vishnu,v,v,,122.0
vishnu,v,e,99.0,
vishnu,v,r,218.0,
vishnu,e,e,,159.0
vishnu,r,r,,186.0
vishnu,r,.,182.0,
vishnu,.,.,,137.0
vishnu,., ,851.0,
vishnu, , ,,123.0
vishnu, ,Shift,269.0,
vishnu, ,T,367.0,
vishnu,Shift,Shift,,162.0
vishnu,t,t,,9644.0
vishnu,t,h,63.0,
vishnu,t,a,140.0,
vishnu,t,t,178.0,
vishnu,a,a,,54.0
vishnu,h,h,,136.0
vishnu,h, ,102.0,
vishnu,t,t,,202.0
vishnu, , ,,141.0
vishnu, ,w,210.0,
vishnu, ,i,290.0,
vishnu,w,w,,123.0
vishnu,i,i,,111.0
vishnu,i,l,59.0,
vishnu,l,l,,72.0
vishnu,l,l,63.0,
vishnu,l,l,,100.0
vishnu,l, ,10.0,
vishnu, , ,,139.0
vishnu, ,h,38.0,
vishnu, ,e,119.0,
vishnu,h,h,,116.0
vishnu,e,e,,91.0
vishnu,e,l,22.0,
vishnu,l,l,,114.0
vishnu,l,p,129.0,
vishnu,l, ,240.0,
vishnu,p,p,,146.0
vishnu, , ,,114.0
vishnu, ,y,201.0,
vishnu, ,o,272.0,
vishnu,y,y,,120.0
vishnu,y,u,61.0,
vishnu,o,o,,162.0
vishnu,u,u,,146.0
vishnu,u, ,35.0,
vishnu, , ,,111.0
vishnu, ,t,170.0,
vishnu, ,o,262.0,
vishnu,t,t,,142.0
vishnu,o,o,,165.0
vishnu,o, ,28.0,
vishnu, , ,,113.0
vishnu, ,t,194.0,
vishnu,t,t,,132.0
vishnu,t,u,59.0,
vishnu,u,u,,43.0
vishnu,u,Backspace,614.0,
vishnu,Backspace,Backspace,,95.0
vishnu,Backspace,y,171.0,
vishnu,y,y,,105.0
vishnu,y,p,24.0,
vishnu,y,e,179.0,
vishnu,p,p,,187.0
vishnu,p, ,114.0,
vishnu,e,e,,177.0
vishnu, , ,,104.0
vishnu, ,s,247.0,
vishnu,s,s,,95.0
vishnu,s,m,60.0,
vishnu,m,m,,138.0
vishnu,m,o,49.0,
vishnu,o,o,,74.0
vishnu,o,o,73.0,
vishnu,o,o,,94.0
vishnu,o,t,111.0,
vishnu,t,t,,140.0
vishnu,t,h,4.0,
vishnu,h,h,,111.0
vishnu,h,l,514.0,
vishnu,l,l,,139.0
vishnu,l,y,736.0,
vishnu,l, ,841.0,
vishnu,y,y,,120.0
vishnu, , ,,140.0
vishnu, ,w,55.0,
vishnu, ,i,134.0,
vishnu,w,w,,116.0
vishnu,i,i,,129.0
vishnu,i,t,52.0,
vishnu,t,t,,138.0
vishnu,t,h,37.0,
vishnu,h,h,,167.0
vishnu,h,o,41.0,
vishnu,h,u,237.0,
vishnu,o,o,,217.0
vishnu,u,u,,146.0
vishnu,u,t,3.0,
vishnu,u, ,194.0,
vishnu,t,t,,227.0
vishnu, , ,,128.0
vishnu, ,p,272.0,
vishnu, ,a,339.0,
vishnu,p,p,,119.0
vishnu,a,a,,126.0
vishnu,a,u,852.0,
vishnu,u,u,,117.0
vishnu,u,s,65.0,
vishnu,s,s,,120.0
vishnu,s,i,3.0,
vishnu,i,i,,143.0
vishnu,i,n,69.0,
vishnu,i,g,155.0,
vishnu,n,n,,131.0
vishnu,n, ,127.0,
vishnu,g,g,,234.0
vishnu, , ,,98.0
vishnu, ,.,98.0,
vishnu,.,.,,180.0
vishnu,., ,209.0,
vishnu, , ,,93.0
vishnu, ,Backspace,395.0,
vishnu,Backspace,Backspace,,81.0
vishnu,Backspace,Backspace,68.0,
vishnu,Backspace,Backspace,,134.0
vishnu,Backspace,Backspace,275.0,
vishnu,Backspace,Backspace,,105.0
vishnu,Backspace,.,917.0,
vishnu,.,.,,113.0
vishnu,., ,125.0,
vishnu, , ,,143.0
vishnu, ,Shift,5.0,
vishnu, ,T,363.0,
vishnu,T,T,,131.0
vishnu,Shift,Shift,,493.0
vishnu,Shift,r,317.0,
vishnu,Shift,y,411.0,
vishnu,r,r,,114.0
vishnu,y,y,,154.0
vishnu,y, ,4.0,
vishnu, , ,,112.0
vishnu, ,t,464.0,
vishnu,t,t,,131.0
vishnu,t,a,65.0,
